x	y	B2	B3	B4	B5	B6	B7	B8	B8A	B11	B12	clase
513855	559435	1501	1604	1828	2045.4375	2185.9375	2364.625	2475	2696.125	4701.375	4308.375	cultivos
512805	558715	1698	1928	2230	2401.8125	2894.3125	3118.9375	3060	3395.875	4348.625	3707.25	cultivos
517195	561835	1709	1915	2086	2606.875	3039.1875	3281.375	3318	3649.6875	4620.4375	3353.3125	cultivos
513395	558385	1800	2030	2442	2660.3125	2828.0625	3010.375	3116	3327.3125	4838.875	4215.3125	cultivos
513825	558525	1638	1845	2168	2379.5625	2533.4375	2698.9375	2826	3011.25	4788.875	4248.1875	cultivos
514405	557985	1689	1898	2234	2468.8125	2609	2777.5	2901	3133.875	4891.625	4258.875	cultivos
513225	558575	1686	1849	2154	2475.0625	2667.375	2873.3125	2842	3197.875	4619.0625	4086.875	cultivos
514225	559215	1691	1840	2162	2463.875	2710.625	2947.875	3145	3431.75	5272.6875	4266.875	cultivos
513325	559075	1524	1744	1800	2348.1875	3227.1875	3577.125	3683	4053.75	4295.9375	3172.625	cultivos
513545	558675	1748	1964	2322	2612.875	2803.4375	2954.8125	3120	3291.5625	4685.625	4037.1875	cultivos
517395	561605	1698	1969	2184	2697.0625	3252.8125	3498.8125	3596	3859.125	4938.3125	3515.3125	cultivos
513875	559865	1812	2166	2514	2972.75	3638.625	3900.75	4040	4319	4877.4375	3632.875	cultivos
514285	559065	1736	1938	1906	2574.375	3625.75	3936.5625	4051	4346.3125	3941.25	2778.4375	cultivos
512595	559375	1604	1770	2034	2292.625	2495.1875	2717.1875	2743	3030.625	4328.8125	3840.4375	cultivos
513825	557655	1527	1664	1904	2241.1875	2468.875	2657	2665	3064.625	4521.5625	3975.25	cultivos
