Longitude	Latitude	B2	B3	B4	B5	B6	B7	B8	B8A	B11	B12	clase
505775	510425	2579	2602	2484	2770.75	3806.25	4415	4335	4792.5625	4014.6875	2604.0625	Nubes
511075	508815	1838	1615	1387	1454.1875	1861.6875	2047.4375	1965	2102	1422.9375	1186.9375	Nubes
502635	514125	2129	2159	1721	2278.875	4655.5625	5753.375	5714	6363	3493.6875	2001.875	Nubes
550085	562485	7339	7329	7898	7602.5625	8153.5625	8685.75	8225	8968.375	6999.5625	5444.75	Nubes
548075	560705	3998	3775	3684	3749.625	4756.625	5261.4375	5282	5542.375	4295	2898.9375	Nubes
551305	510765	2009	1962	1747	2134.125	3325.9375	3913.8125	3626	4219.625	3558.875	2467.0625	Vegetacion
596105	498535	2011	1964	1990	2259.625	2980.75	3217.4375	3082	3392.875	2942.375	2353.125	Urbano
589735	507955	2675	2558	2716	2856.125	3071.875	3126.9375	3239	3236.25	3622	3382.25	Urbano
508895	509155	7067	6856	7112	7122.875	7710.3125	8244.9375	7513	8636.6875	6994	5753.6875	Nubes
590875	499105	1616	1529	1346	1535.0625	2082.25	2241.9375	2267	2358.625	1810.75	1424.25	Urbano
502755	518345	1982	1836	1532	1865	3230.1875	3980.375	3399	4396.125	2323.4375	1532.1875	Nubes
536425	598845	1986	2025	1706	2242.25	3849.75	4531.4375	4346	5023.3125	3407.8125	2041.5	Agua
500575	507885	4587	4363	4348	4431.3125	5039.1875	5464.9375	4872	5727.6875	4541.125	3523.25	Nubes
537055	596635	1861	1802	1460	1967.1875	3513.375	4173.8125	3767	4612.1875	2893.1875	1772.4375	Agua
530775	549245	1944	1945	1613	2086.9375	3439.0625	4025.125	3861	4420.25	2940.0625	1820.125	Agua
504125	514115	2128	2128	1897	2273.125	3870.1875	4594.125	4264	5096.9375	3671.6875	2295	Nubes
507415	516735	2015	1819	1667	1679.8125	2047.5625	2223.9375	2026	2332.375	1983.5625	1566.25	Nubes
505805	532435	2573	2491	2162	2511.625	4202.125	4998.5	4648	5499	3364.25	2420.5	Nubes
602435	518475	2676	2540	2812	2846.375	3263	3391.875	3091	3526.4375	3237	2784.875	Urbano
504685	537955	6112	5960	6185	6161.8125	6745.875	7274.375	6931	7637.6875	6479.625	4717.5	Nubes
551535	562695	7342	7141	7388	7193.5	7759.3125	8175.6875	8412	8377.8125	6972.4375	5486.25	Nubes
500075	520595	5135	4914	5033	5119.4375	5736.75	6143.4375	5583	6403.125	4792.375	3727.875	Nubes
500865	527455	2095	2004	1660	2096.375	4177.25	5220.6875	5031	5690.5	3144.5625	1882.9375	Nubes
593285	509495	2818	2700	2616	2483.5	2813.875	2963.25	3324	3056.5625	2862.8125	2487.875	Urbano
594965	496385	1778	1770	1684	2009.5	2739.6875	3009.4375	2876	3187.4375	2713.6875	2034.5625	Urbano
